id,year,Titel,novel,num_phrases
22553350,1890,Die betonten Vocale im Altlothringischen,1,2
22553352,1890,Zur Kenntnis der Halogenadditionsprodukte der Fumarsäure und Maleinsäure.,1,4
22553354,1890,"Über den Stickstoffverlust beim Faulen stickstoffhaltiger organischer Substanzen und die Mittel, denselben zu beschränken oder zu vermeiden",1,5
22553355,1890,Die politische Publizistik der Jesuiten und ihrer Gegner in den letzten Jahrzehnten vor Ausbruch des dreissigjährigen Krieges.,1,6
22553356,1890,Beiträge zur Kritik Lamberts von Hersfeld,1,4
22553357,1890,Bevölkerung und Siedelungen im Schwarzagebiet,1,3
22553359,1890,Über Benennung und Einteilung der Sudeten in früheren Zeiten.,1,4
22553360,1890,Die phonolithischen Gesteine des Laachersee-Gebiets und der hohen Eifel,1,3
22553362,1890,Die ältesten gewerblichen Verbände der Stadt Wernigerode von ihrer Entstehung bis zur Gegenwart. Ein Beitrag zur Geschichte des Gewerbewesens,1,7
22553363,1890,Geographische Verbreitung der Schweizer Staphyliniden.,1,2
22553367,1890,Die altfranzösische Übersetzung der Consolatio Philosophiae des Boëthius von Renaut von Louhans,1,5
22553369,1890,"Über den Japanischen Grundbesitz, dessen Verteilung und landwirtschaftliche Verwertung",1,3
22553370,1890,Das Auge der Raupen und Phryganidenlarven.,1,3
22553371,1890,Adam Smith als Moralphilosoph,1,2
22553372,1890,König Friedrich Wilhelm I. von Preussen in den Denkwürdigkeiten der Markgräfin Wilhelmine von Baireuth,1,4
22553377,1890,Die Bestimmung der electrischen Leitungsfähigkeit einiger Salzlösungen auf elektrometrischem Wege.,1,4
22553378,1890,Der Einfluss der stoischen Philosophie auf die Lehrbildung Tertullians,1,4
22553379,1890,Hauptverkehrswege Persiens,1,2
22553380,1890,Landeskunde von Skythien nach Herodot,1,3
22553382,1890,Kritische Untersuchungen über Lotzes Ästhetik,1,3
22553383,1890,Über gewisse homogene quadratische Relationen unter den Integralen einer linearen homogenen Differentialgleichung sechster Ordnung,1,4
22553385,1890,Das Drainagewasser und die durch dasselbe hervorgerufenen Verluste an Pflanzennährstoffen,1,2
22553386,1890,Das Grüssen im Altfranzösischen,1,2
22553388,1890,Vier Erzählungen aus der Cukasaptati. Saṁsḳrt und deutsch,1,2
22553389,1890,Beitraege zur Psychologie des Urteils. Versuch einer analytischen Behandlung desselben,1,6
22553391,1890,Über die Einwirkung des Benzotrichlorids auf einige Phenole.,1,3
22553393,1890,Der Konsonantismus des Francischen im 13. Jahrhundert.,1,2
22553398,1890,Über die Sprache des Livre de Jostice et de Plet,1,2
