id,Gymnasium,domestic,n_study,technical
22840351,,,,
22840352,,,,
22840353,,,,
22840354,,,,
22840355,,,,
22840356,,,,
22840357,,,,
22840358,,,,
22840359,,,,
22840360,,,,
22840361,,,,
22840362,,,,
22840363,,,,
22840364,,,,
22840365,,,,
22840366,,,,
22840367,,,,
22840368,,,,
22840369,,,,
22840370,,,,
22840371,,,,
22840372,,,,
22840373,,,,
22840374,,,,
22840375,,,,
22840378,,,,
22840379,,,,
22840380,,,,
22840447,,,,
22840448,,,,
22840449,,,,
22840450,,,,
22840451,,,,
22840452,,,,
22840453,,,,
22840454,,,,
22840455,,,,
22840456,,,,
22840457,,,,
22840458,,,,
22840459,,,,
22840460,,,,
22840461,,,,
22840462,,,,
22840463,,,,
22840464,,,,
22840465,,,,
22840466,,,,
22840467,,,,
22840468,,,,
22840469,,,,
22840471,,,,
22840472,,,,
22840473,,,,
22840474,,,,
22840500,,,,
22840501,,,,
22840502,,,,
22840503,,,,
22840504,,,,
22840505,,,,
22840506,,,,
22840507,,,,
22840508,,,,
22840509,,,,
22840510,,,,
22840511,,,,
22840512,,,,
22840513,,,,
22840514,,,,
22840515,,,,
22840516,,,,
22840517,,,,
22840518,,,,
22840519,,,,
22840520,,,,
22840521,,,,
22840522,,,,
22840523,,,,
22840524,,,,
22840525,,,,
22840526,,,,
22840527,,,,
22840532,,,,
22840533,,,,
22840534,,,,
22840535,,,,
22840536,,,,
22840537,,,,
22840538,,,,
22840539,,,,
22840540,,,,
22840541,,,,
22840542,,,,
22840543,,,,
22840544,,,,
22840633,,,,
22840634,,,,
22840635,,,,
22840636,,,,
22840637,,,,
22840638,,,,
22840639,,,,
22840640,,,,
22840641,,,,
22840642,,,,
22840643,,,,
22840644,,,,
22840645,,,,
22840646,,,,
22840647,,,,
22840648,,,,
22840649,,,,
22840650,,,,
22840651,,,,
22840652,,,,
22840653,,,,
22840654,,,,
22840655,,,,
22840656,,,,
22840657,,,,
22840658,,,,
22840659,,,,
22840660,,,,
22840661,,,,
22840662,,,,
22840663,,,,
22840664,,,,
22840665,,,,
22840666,,,,
22840667,,,,
22840668,,,,
22840669,,,,
22840670,,,,
22840671,,,,
22840672,,,,
22840673,,,,
22840674,,,,
22840675,,,,
22840676,,,,
22840677,,,,
22840678,,,,
22840679,,,,
22840680,,,,
22840681,,,,
22840682,,,,
22840683,,,,
22840684,,,,
22840685,,,,
22840686,,,,
22840687,,,,
22840688,,,,
22840689,,,,
22840690,,,,
22840691,,,,
22840692,,,,
22840693,,,,
22840694,,,,
22840695,,,,
22840696,,,,
22840697,,,,
22840698,,,,
22840699,,,,
22840700,,,,
22840701,,,,
22840702,,,,
22840703,,,,
22840704,,,,
22840705,,,,
22840706,,,,
22840707,,,,
22840708,,,,
22840709,,,,
22840710,,,,
22840712,,,,
22840713,,,,
22840714,,,,
22840715,,,,
22840716,,,,
22840717,,,,
22840718,,,,
22840719,,,,
22840720,,,,
22840721,,,,
22840722,,,,
22840723,,,,
22840724,,,,
22840725,,,,
22840785,,,,
22840786,,,,
22840787,,,,
22840788,,,,
22840789,,,,
22840790,,,,
22840791,,,,
22840792,,,,
22840793,,,,
22840794,,,,
22840795,,,,
22840796,,,,
22840798,,,,
22840799,,,,
22840800,,,,
22840801,,,,
22840802,,,,
22840803,,,,
22840804,,,,
22840805,,,,
22840806,,,,
22840807,,,,
22840808,,,,
22840809,,,,
22840810,,,,
22840811,,,,
22840812,,,,
22840813,,,,
22840814,,,,
22840815,,,,
22840816,,,,
22840817,,,,
22840818,,,,
22840819,,,,
22840820,,,,
22840821,,,,
22840822,,,,
22840823,,,,
22840824,,,,
22840825,,,,
22840826,,,,
22840827,,,,
22840828,,,,
22840829,,,,
22840830,,,,
22840831,,,,
22840832,,,,
22840835,,,,
22840836,,,,
22840850,,,,
22840851,,,,
22840852,,,,
22840853,,,,
22840854,,,,
22840855,,,,
22840856,,,,
22840857,,,,
22840858,,,,
22840859,,,,
22840860,,,,
22840861,,,,
22840862,,,,
22840863,,,,
22840869,,,,
22840870,,,,
22840871,,,,
22840872,,,,
22840873,,,,
22840874,,,,
22840875,,,,
22840876,,,,
22840877,,,,
22840878,,,,
22840879,,,,
22840880,,,,
22840881,,,,
22840882,,,,
22840883,,,,
22840884,,,,
22840885,,,,
22840886,,,,
22840887,,,,
22840888,,,,
22840889,,,,
22840890,,,,
22840891,,,,
22840892,,,,
22840893,,,,
22840894,,,,
22840895,,,,
22840896,,,,
22840897,,,,
22840898,,,,
22840899,,,,
22840900,,,,
22840901,,,,
22840902,,,,
22840903,,,,
22840904,,,,
22840905,,,,
22840906,,,,
22840907,,,,
22840908,,,,
22840940,,,,
22840941,,,,
22840942,,,,
22840943,,,,
22840944,,,,
22840945,,,,
22840946,,,,
22840947,,,,
22840948,,,,
22840949,,,,
22840950,,,,
22840951,,,,
22840952,,,,
22840953,,,,
22840954,,,,
22840955,,,,
22840956,,,,
22840957,,,,
22840958,,,,
22840959,,,,
22840960,,,,
22840961,,,,
22840962,,,,
22840963,,,,
22840964,,,,
